Temperature - (Celsius), Year, Statistics, Country, ISO3
28.4269, 2015, Mar Average, Samoa, WSM
28.0004, 2015, Apr Average, Samoa, WSM
27.3447, 2015, May Average, Samoa, WSM
26.7447, 2015, Jun Average, Samoa, WSM
26.4182, 2015, Jul Average, Samoa, WSM
25.9724, 2015, Aug Average, Samoa, WSM
26.6724, 2015, Sep Average, Samoa, WSM
26.6455, 2015, Oct Average, Samoa, WSM
27.7727, 2015, Nov Average, Samoa, WSM
27.8178, 2015, Dec Average, Samoa, WSM
28.7569, 2016, Jan Average, Samoa, WSM
29.4561, 2016, Feb Average, Samoa, WSM
28.5561, 2016, Mar Average, Samoa, WSM
27.9462, 2016, Apr Average, Samoa, WSM
27.7989, 2016, May Average, Samoa, WSM
27.3455, 2016, Jun Average, Samoa, WSM
26.719, 2016, Jul Average, Samoa, WSM
27.0724, 2016, Aug Average, Samoa, WSM
27.2724, 2016, Sep Average, Samoa, WSM
27.7996, 2016, Oct Average, Samoa, WSM
27.7178, 2016, Nov Average, Samoa, WSM
28.0019, 2016, Dec Average, Samoa, WSM
24.4885, 1991, Jan Average, Sao Tome and Principe, STP
24.8498, 1991, Feb Average, Sao Tome and Principe, STP
24.9598, 1991, Mar Average, Sao Tome and Principe, STP
24.5453, 1991, Apr Average, Sao Tome and Principe, STP
24.5397, 1991, May Average, Sao Tome and Principe, STP
23.22, 1991, Jun Average, Sao Tome and Principe, STP
22.22, 1991, Jul Average, Sao Tome and Principe, STP
21.9944, 1991, Aug Average, Sao Tome and Principe, STP
22.3743, 1991, Sep Average, Sao Tome and Principe, STP
22.7342, 1991, Oct Average, Sao Tome and Principe, STP
23.5242, 1991, Nov Average, Sao Tome and Principe, STP
23.6598, 1991, Dec Average, Sao Tome and Principe, STP
24.1785, 1992, Jan Average, Sao Tome and Principe, STP
25.2498, 1992, Feb Average, Sao Tome and Principe, STP
24.8854, 1992, Mar Average, Sao Tome and Principe, STP
24.9653, 1992, Apr Average, Sao Tome and Principe, STP
24.2598, 1992, May Average, Sao Tome and Principe, STP
22.32, 1992, Jun Average, Sao Tome and Principe, STP
21.23, 1992, Jul Average, Sao Tome and Principe, STP
21.1044, 1992, Aug Average, Sao Tome and Principe, STP
22.1743, 1992, Sep Average, Sao Tome and Principe, STP
23.1242, 1992, Oct Average, Sao Tome and Principe, STP
23.4242, 1992, Nov Average, Sao Tome and Principe, STP
24.3698, 1992, Dec Average, Sao Tome and Principe, STP
24.3342, 1993, Jan Average, Sao Tome and Principe, STP
24.5498, 1993, Feb Average, Sao Tome and Principe, STP
24.5242, 1993, Mar Average, Sao Tome and Principe, STP
24.9553, 1993, Apr Average, Sao Tome and Principe, STP
24.1854, 1993, May Average, Sao Tome and Principe, STP
22.72, 1993, Jun Average, Sao Tome and Principe, STP
22.4844, 1993, Jul Average, Sao Tome and Principe, STP
21.9944, 1993, Aug Average, Sao Tome and Principe, STP
22.5743, 1993, Sep Average, Sao Tome and Principe, STP
23.8086, 1993, Oct Average, Sao Tome and Principe, STP
23.8885, 1993, Nov Average, Sao Tome and Principe, STP
24.2598, 1993, Dec Average, Sao Tome and Principe, STP
23.9986, 1994, Jan Average, Sao Tome and Principe, STP
24.8498, 1994, Feb Average, Sao Tome and Principe, STP
24.5598, 1994, Mar Average, Sao Tome and Principe, STP
24.7553, 1994, Apr Average, Sao Tome and Principe, STP
24.2598, 1994, May Average, Sao Tome and Principe, STP
22.81, 1994, Jun Average, Sao Tome and Principe, STP
21.71, 1994, Jul Average, Sao Tome and Principe, STP
21.8944, 1994, Aug Average, Sao Tome and Principe, STP
22.7287, 1994, Sep Average, Sao Tome and Principe, STP
23.2342, 1994, Oct Average, Sao Tome and Principe, STP
24.1342, 1994, Nov Average, Sao Tome and Principe, STP
24.0442, 1994, Dec Average, Sao Tome and Principe, STP
24.7242, 1995, Jan Average, Sao Tome and Principe, STP
24.7498, 1995, Feb Average, Sao Tome and Principe, STP
24.7498, 1995, Mar Average, Sao Tome and Principe, STP
25.0553, 1995, Apr Average, Sao Tome and Principe, STP
24.5498, 1995, May Average, Sao Tome and Principe, STP
23.12, 1995, Jun Average, Sao Tome and Principe, STP
22.42, 1995, Jul Average, Sao Tome and Principe, STP
22.2944, 1995, Aug Average, Sao Tome and Principe, STP
22.7387, 1995, Sep Average, Sao Tome and Principe, STP
23.4986, 1995, Oct Average, Sao Tome and Principe, STP
24.1342, 1995, Nov Average, Sao Tome and Principe, STP
24.1698, 1995, Dec Average, Sao Tome and Principe, STP
24.5442, 1996, Jan Average, Sao Tome and Principe, STP
25.1598, 1996, Feb Average, Sao Tome and Principe, STP
24.7598, 1996, Mar Average, Sao Tome and Principe, STP
24.8553, 1996, Apr Average, Sao Tome and Principe, STP
24.3397, 1996, May Average, Sao Tome and Principe, STP
22.82, 1996, Jun Average, Sao Tome and Principe, STP
22.1944, 1996, Jul Average, Sao Tome and Principe, STP
21.5944, 1996, Aug Average, Sao Tome and Principe, STP
22.5643, 1996, Sep Average, Sao Tome and Principe, STP
23.0342, 1996, Oct Average, Sao Tome and Principe, STP
23.8342, 1996, Nov Average, Sao Tome and Principe, STP
23.9055, 1996, Dec Average, Sao Tome and Principe, STP
24.2342, 1997, Jan Average, Sao Tome and Principe, STP
24.5598, 1997, Feb Average, Sao Tome and Principe, STP
24.6141, 1997, Mar Average, Sao Tome and Principe, STP
24.3453, 1997, Apr Average, Sao Tome and Principe, STP
23.7598, 1997, May Average, Sao Tome and Principe, STP
21.92, 1997, Jun Average, Sao Tome and Principe, STP
22.02, 1997, Jul Average, Sao Tome and Principe, STP
21.6044, 1997, Aug Average, Sao Tome and Principe, STP
23.21, 1997, Sep Average, Sao Tome and Principe, STP
23.4442, 1997, Oct Average, Sao Tome and Principe, STP
23.9242, 1997, Nov Average, Sao Tome and Principe, STP
24.4342, 1997, Dec Average, Sao Tome and Principe, STP
24.5242, 1998, Jan Average, Sao Tome and Principe, STP
25.7598, 1998, Feb Average, Sao Tome and Principe, STP
25.7598, 1998, Mar Average, Sao Tome and Principe, STP
25.7909, 1998, Apr Average, Sao Tome and Principe, STP
24.6954, 1998, May Average, Sao Tome and Principe, STP
23.12, 1998, Jun Average, Sao Tome and Principe, STP
22.3044, 1998, Jul Average, Sao Tome and Principe, STP
22.0944, 1998, Aug Average, Sao Tome and Principe, STP
23.1643, 1998, Sep Average, Sao Tome and Principe, STP
23.7986, 1998, Oct Average, Sao Tome and Principe, STP
24.4342, 1998, Nov Average, Sao Tome and Principe, STP
24.1698, 1998, Dec Average, Sao Tome and Principe, STP
24.5342, 1999, Jan Average, Sao Tome and Principe, STP
24.8498, 1999, Feb Average, Sao Tome and Principe, STP
25.1242, 1999, Mar Average, Sao Tome and Principe, STP
24.7653, 1999, Apr Average, Sao Tome and Principe, STP
24.6397, 1999, May Average, Sao Tome and Principe, STP
23.4743, 1999, Jun Average, Sao Tome and Principe, STP
22.7743, 1999, Jul Average, Sao Tome and Principe, STP
21.5145, 1999, Aug Average, Sao Tome and Principe, STP
22.6387, 1999, Sep Average, Sao Tome and Principe, STP
23.2342, 1999, Oct Average, Sao Tome and Principe, STP
23.9342, 1999, Nov Average, Sao Tome and Principe, STP
24.2954, 1999, Dec Average, Sao Tome and Principe, STP
24.8342, 2000, Jan Average, Sao Tome and Principe, STP
25.0498, 2000, Feb Average, Sao Tome and Principe, STP
25.4498, 2000, Mar Average, Sao Tome and Principe, STP
25.1553, 2000, Apr Average, Sao Tome and Principe, STP
24.8598, 2000, May Average, Sao Tome and Principe, STP
23.21, 2000, Jun Average, Sao Tome and Principe, STP
22.23, 2000, Jul Average, Sao Tome and Principe, STP
22.3688, 2000, Aug Average, Sao Tome and Principe, STP
22.8643, 2000, Sep Average, Sao Tome and Principe, STP
23.4242, 2000, Oct Average, Sao Tome and Principe, STP
24.1242, 2000, Nov Average, Sao Tome and Principe, STP
24.1954, 2000, Dec Average, Sao Tome and Principe, STP
24.7242, 2001, Jan Average, Sao Tome and Principe, STP
25.4242, 2001, Feb Average, Sao Tome and Principe, STP
25.2598, 2001, Mar Average, Sao Tome and Principe, STP
25.3653, 2001, Apr Average, Sao Tome and Principe, STP
24.8598, 2001, May Average, Sao Tome and Principe, STP
23.41, 2001, Jun Average, Sao Tome and Principe, STP
22.13, 2001, Jul Average, Sao Tome and Principe, STP
21.8044, 2001, Aug Average, Sao Tome and Principe, STP
22.1743, 2001, Sep Average, Sao Tome and Principe, STP
23.5442, 2001, Oct Average, Sao Tome and Principe, STP
24.1442, 2001, Nov Average, Sao Tome and Principe, STP
24.8055, 2001, Dec Average, Sao Tome and Principe, STP
24.8141, 2002, Jan Average, Sao Tome and Principe, STP
25.0598, 2002, Feb Average, Sao Tome and Principe, STP
25.3498, 2002, Mar Average, Sao Tome and Principe, STP
25.3553, 2002, Apr Average, Sao Tome and Principe, STP
25.1242, 2002, May Average, Sao Tome and Principe, STP
23.6743, 2002, Jun Average, Sao Tome and Principe, STP
23.02, 2002, Jul Average, Sao Tome and Principe, STP
22.4944, 2002, Aug Average, Sao Tome and Principe, STP
22.9643, 2002, Sep Average, Sao Tome and Principe, STP
23.5342, 2002, Oct Average, Sao Tome and Principe, STP
24.1342, 2002, Nov Average, Sao Tome and Principe, STP
24.2698, 2002, Dec Average, Sao Tome and Principe, STP
24.6698, 2003, Jan Average, Sao Tome and Principe, STP
25.4598, 2003, Feb Average, Sao Tome and Principe, STP
25.1954, 2003, Mar Average, Sao Tome and Principe, STP
25.1653, 2003, Apr Average, Sao Tome and Principe, STP
24.9598, 2003, May Average, Sao Tome and Principe, STP
23.1844, 2003, Jun Average, Sao Tome and Principe, STP
22.53, 2003, Jul Average, Sao Tome and Principe, STP
22.7944, 2003, Aug Average, Sao Tome and Principe, STP
23.4743, 2003, Sep Average, Sao Tome and Principe, STP
24.0342, 2003, Oct Average, Sao Tome and Principe, STP
24.2242, 2003, Nov Average, Sao Tome and Principe, STP
24.6698, 2003, Dec Average, Sao Tome and Principe, STP
24.8342, 2004, Jan Average, Sao Tome and Principe, STP
25.2598, 2004, Feb Average, Sao Tome and Principe, STP
25.5598, 2004, Mar Average, Sao Tome and Principe, STP
24.8653, 2004, Apr Average, Sao Tome and Principe, STP
24.2698, 2004, May Average, Sao Tome and Principe, STP
22.81, 2004, Jun Average, Sao Tome and Principe, STP
22.6944, 2004, Jul Average, Sao Tome and Principe, STP
22.5044, 2004, Aug Average, Sao Tome and Principe, STP
23.1643, 2004, Sep Average, Sao Tome and Principe, STP
23.4442, 2004, Oct Average, Sao Tome and Principe, STP
24.1242, 2004, Nov Average, Sao Tome and Principe, STP
