Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
343.5114, 2080-2099, miroc5, Jan Average, Samoa, WSM
277.579, 2080-2099, miroc5, Feb Average, Samoa, WSM
305.78558, 2080-2099, miroc5, Mar Average, Samoa, WSM
230.50215, 2080-2099, miroc5, Apr Average, Samoa, WSM
264.36713, 2080-2099, miroc5, May Average, Samoa, WSM
131.91467, 2080-2099, miroc5, Jun Average, Samoa, WSM
92.31881, 2080-2099, miroc5, Jul Average, Samoa, WSM
80.618095, 2080-2099, miroc5, Aug Average, Samoa, WSM
127.3231, 2080-2099, miroc5, Sep Average, Samoa, WSM
168.03905, 2080-2099, miroc5, Oct Average, Samoa, WSM
244.10724, 2080-2099, miroc5, Nov Average, Samoa, WSM
314.9952, 2080-2099, miroc5, Dec Average, Samoa, WSM
301.51315, 2080-2099, mri_cgcm3, Jan Average, Samoa, WSM
389.4559, 2080-2099, mri_cgcm3, Feb Average, Samoa, WSM
292.76917, 2080-2099, mri_cgcm3, Mar Average, Samoa, WSM
207.28429, 2080-2099, mri_cgcm3, Apr Average, Samoa, WSM
191.4924, 2080-2099, mri_cgcm3, May Average, Samoa, WSM
88.90183, 2080-2099, mri_cgcm3, Jun Average, Samoa, WSM
49.486465, 2080-2099, mri_cgcm3, Jul Average, Samoa, WSM
89.71067, 2080-2099, mri_cgcm3, Aug Average, Samoa, WSM
76.81004, 2080-2099, mri_cgcm3, Sep Average, Samoa, WSM
121.63555, 2080-2099, mri_cgcm3, Oct Average, Samoa, WSM
89.90393, 2080-2099, mri_cgcm3, Nov Average, Samoa, WSM
228.23244, 2080-2099, mri_cgcm3, Dec Average, Samoa, WSM
360.3748, 2080-2099, noresm1_m, Jan Average, Samoa, WSM
305.89978, 2080-2099, noresm1_m, Feb Average, Samoa, WSM
220.60333, 2080-2099, noresm1_m, Mar Average, Samoa, WSM
236.23402, 2080-2099, noresm1_m, Apr Average, Samoa, WSM
342.40076, 2080-2099, noresm1_m, May Average, Samoa, WSM
244.19046, 2080-2099, noresm1_m, Jun Average, Samoa, WSM
148.98048, 2080-2099, noresm1_m, Jul Average, Samoa, WSM
162.67456, 2080-2099, noresm1_m, Aug Average, Samoa, WSM
212.48328, 2080-2099, noresm1_m, Sep Average, Samoa, WSM
267.30212, 2080-2099, noresm1_m, Oct Average, Samoa, WSM
288.68204, 2080-2099, noresm1_m, Nov Average, Samoa, WSM
305.2505, 2080-2099, noresm1_m, Dec Average, Samoa, WSM
129.83359, 2080-2099, bcc_csm1_1, Jan Average, Sao Tome and Principe, STP
91.127144, 2080-2099, bcc_csm1_1, Feb Average, Sao Tome and Principe, STP
122.974304, 2080-2099, bcc_csm1_1, Mar Average, Sao Tome and Principe, STP
257.47137, 2080-2099, bcc_csm1_1, Apr Average, Sao Tome and Principe, STP
310.2016, 2080-2099, bcc_csm1_1, May Average, Sao Tome and Principe, STP
271.3706, 2080-2099, bcc_csm1_1, Jun Average, Sao Tome and Principe, STP
94.39324, 2080-2099, bcc_csm1_1, Jul Average, Sao Tome and Principe, STP
56.003048, 2080-2099, bcc_csm1_1, Aug Average, Sao Tome and Principe, STP
69.8267, 2080-2099, bcc_csm1_1, Sep Average, Sao Tome and Principe, STP
91.738625, 2080-2099, bcc_csm1_1, Oct Average, Sao Tome and Principe, STP
116.98772, 2080-2099, bcc_csm1_1, Nov Average, Sao Tome and Principe, STP
134.46196, 2080-2099, bcc_csm1_1, Dec Average, Sao Tome and Principe, STP
175.45717, 2080-2099, bcc_csm1_1_m, Jan Average, Sao Tome and Principe, STP
134.11757, 2080-2099, bcc_csm1_1_m, Feb Average, Sao Tome and Principe, STP
194.5502, 2080-2099, bcc_csm1_1_m, Mar Average, Sao Tome and Principe, STP
192.021, 2080-2099, bcc_csm1_1_m, Apr Average, Sao Tome and Principe, STP
215.2675, 2080-2099, bcc_csm1_1_m, May Average, Sao Tome and Principe, STP
133.69208, 2080-2099, bcc_csm1_1_m, Jun Average, Sao Tome and Principe, STP
62.61722, 2080-2099, bcc_csm1_1_m, Jul Average, Sao Tome and Principe, STP
35.6987, 2080-2099, bcc_csm1_1_m, Aug Average, Sao Tome and Principe, STP
42.64042, 2080-2099, bcc_csm1_1_m, Sep Average, Sao Tome and Principe, STP
82.702034, 2080-2099, bcc_csm1_1_m, Oct Average, Sao Tome and Principe, STP
139.76787, 2080-2099, bcc_csm1_1_m, Nov Average, Sao Tome and Principe, STP
231.56384, 2080-2099, bcc_csm1_1_m, Dec Average, Sao Tome and Principe, STP
109.29599, 2080-2099, ccsm4, Jan Average, Sao Tome and Principe, STP
62.13357, 2080-2099, ccsm4, Feb Average, Sao Tome and Principe, STP
112.647064, 2080-2099, ccsm4, Mar Average, Sao Tome and Principe, STP
145.9943, 2080-2099, ccsm4, Apr Average, Sao Tome and Principe, STP
217.73573, 2080-2099, ccsm4, May Average, Sao Tome and Principe, STP
211.87119, 2080-2099, ccsm4, Jun Average, Sao Tome and Principe, STP
146.17107, 2080-2099, ccsm4, Jul Average, Sao Tome and Principe, STP
43.7046, 2080-2099, ccsm4, Aug Average, Sao Tome and Principe, STP
68.91569, 2080-2099, ccsm4, Sep Average, Sao Tome and Principe, STP
133.82892, 2080-2099, ccsm4, Oct Average, Sao Tome and Principe, STP
237.70383, 2080-2099, ccsm4, Nov Average, Sao Tome and Principe, STP
219.74854, 2080-2099, ccsm4, Dec Average, Sao Tome and Principe, STP
122.8021, 2080-2099, cesm1_cam5, Jan Average, Sao Tome and Principe, STP
92.48332, 2080-2099, cesm1_cam5, Feb Average, Sao Tome and Principe, STP
180.694, 2080-2099, cesm1_cam5, Mar Average, Sao Tome and Principe, STP
280.55493, 2080-2099, cesm1_cam5, Apr Average, Sao Tome and Principe, STP
361.34192, 2080-2099, cesm1_cam5, May Average, Sao Tome and Principe, STP
244.00185, 2080-2099, cesm1_cam5, Jun Average, Sao Tome and Principe, STP
43.552605, 2080-2099, cesm1_cam5, Jul Average, Sao Tome and Principe, STP
15.212895, 2080-2099, cesm1_cam5, Aug Average, Sao Tome and Principe, STP
22.101048, 2080-2099, cesm1_cam5, Sep Average, Sao Tome and Principe, STP
148.96257, 2080-2099, cesm1_cam5, Oct Average, Sao Tome and Principe, STP
291.82892, 2080-2099, cesm1_cam5, Nov Average, Sao Tome and Principe, STP
249.95837, 2080-2099, cesm1_cam5, Dec Average, Sao Tome and Principe, STP
55.06711, 2080-2099, csiro_mk3_6_0, Jan Average, Sao Tome and Principe, STP
37.59935, 2080-2099, csiro_mk3_6_0, Feb Average, Sao Tome and Principe, STP
50.54639, 2080-2099, csiro_mk3_6_0, Mar Average, Sao Tome and Principe, STP
176.5722, 2080-2099, csiro_mk3_6_0, Apr Average, Sao Tome and Principe, STP
183.40816, 2080-2099, csiro_mk3_6_0, May Average, Sao Tome and Principe, STP
61.49219, 2080-2099, csiro_mk3_6_0, Jun Average, Sao Tome and Principe, STP
16.52095, 2080-2099, csiro_mk3_6_0, Jul Average, Sao Tome and Principe, STP
12.802046, 2080-2099, csiro_mk3_6_0, Aug Average, Sao Tome and Principe, STP
14.560185, 2080-2099, csiro_mk3_6_0, Sep Average, Sao Tome and Principe, STP
17.452513, 2080-2099, csiro_mk3_6_0, Oct Average, Sao Tome and Principe, STP
52.14001, 2080-2099, csiro_mk3_6_0, Nov Average, Sao Tome and Principe, STP
48.65943, 2080-2099, csiro_mk3_6_0, Dec Average, Sao Tome and Principe, STP
85.47269, 2080-2099, fio_esm, Jan Average, Sao Tome and Principe, STP
56.660103, 2080-2099, fio_esm, Feb Average, Sao Tome and Principe, STP
79.305435, 2080-2099, fio_esm, Mar Average, Sao Tome and Principe, STP
140.68837, 2080-2099, fio_esm, Apr Average, Sao Tome and Principe, STP
281.8459, 2080-2099, fio_esm, May Average, Sao Tome and Principe, STP
209.71591, 2080-2099, fio_esm, Jun Average, Sao Tome and Principe, STP
161.56448, 2080-2099, fio_esm, Jul Average, Sao Tome and Principe, STP
128.36157, 2080-2099, fio_esm, Aug Average, Sao Tome and Principe, STP
89.42209, 2080-2099, fio_esm, Sep Average, Sao Tome and Principe, STP
108.77907, 2080-2099, fio_esm, Oct Average, Sao Tome and Principe, STP
136.81007, 2080-2099, fio_esm, Nov Average, Sao Tome and Principe, STP
127.81352, 2080-2099, fio_esm, Dec Average, Sao Tome and Principe, STP
40.098236, 2080-2099, gfdl_cm3, Jan Average, Sao Tome and Principe, STP
51.344448, 2080-2099, gfdl_cm3, Feb Average, Sao Tome and Principe, STP
80.04134, 2080-2099, gfdl_cm3, Mar Average, Sao Tome and Principe, STP
110.46231, 2080-2099, gfdl_cm3, Apr Average, Sao Tome and Principe, STP
175.30545, 2080-2099, gfdl_cm3, May Average, Sao Tome and Principe, STP
175.20284, 2080-2099, gfdl_cm3, Jun Average, Sao Tome and Principe, STP
166.88895, 2080-2099, gfdl_cm3, Jul Average, Sao Tome and Principe, STP
169.0667, 2080-2099, gfdl_cm3, Aug Average, Sao Tome and Principe, STP
206.7187, 2080-2099, gfdl_cm3, Sep Average, Sao Tome and Principe, STP
305.6033, 2080-2099, gfdl_cm3, Oct Average, Sao Tome and Principe, STP
252.65742, 2080-2099, gfdl_cm3, Nov Average, Sao Tome and Principe, STP
117.071625, 2080-2099, gfdl_cm3, Dec Average, Sao Tome and Principe, STP
34.190384, 2080-2099, gfdl_esm2m, Jan Average, Sao Tome and Principe, STP
26.287733, 2080-2099, gfdl_esm2m, Feb Average, Sao Tome and Principe, STP
40.734173, 2080-2099, gfdl_esm2m, Mar Average, Sao Tome and Principe, STP
77.940636, 2080-2099, gfdl_esm2m, Apr Average, Sao Tome and Principe, STP
250.96788, 2080-2099, gfdl_esm2m, May Average, Sao Tome and Principe, STP
157.10678, 2080-2099, gfdl_esm2m, Jun Average, Sao Tome and Principe, STP
132.234, 2080-2099, gfdl_esm2m, Jul Average, Sao Tome and Principe, STP
180.37828, 2080-2099, gfdl_esm2m, Aug Average, Sao Tome and Principe, STP
