Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
80.548645, 2080-2099, miroc5, Jan Average, Denmark, DNK
65.48529, 2080-2099, miroc5, Feb Average, Denmark, DNK
46.670586, 2080-2099, miroc5, Mar Average, Denmark, DNK
45.837036, 2080-2099, miroc5, Apr Average, Denmark, DNK
43.478027, 2080-2099, miroc5, May Average, Denmark, DNK
39.37289, 2080-2099, miroc5, Jun Average, Denmark, DNK
38.617847, 2080-2099, miroc5, Jul Average, Denmark, DNK
63.904743, 2080-2099, miroc5, Aug Average, Denmark, DNK
85.12799, 2080-2099, miroc5, Sep Average, Denmark, DNK
87.51366, 2080-2099, miroc5, Oct Average, Denmark, DNK
85.3411, 2080-2099, miroc5, Nov Average, Denmark, DNK
90.80042, 2080-2099, miroc5, Dec Average, Denmark, DNK
121.26541, 2080-2099, mri_cgcm3, Jan Average, Denmark, DNK
96.893456, 2080-2099, mri_cgcm3, Feb Average, Denmark, DNK
96.6078, 2080-2099, mri_cgcm3, Mar Average, Denmark, DNK
67.38476, 2080-2099, mri_cgcm3, Apr Average, Denmark, DNK
66.958786, 2080-2099, mri_cgcm3, May Average, Denmark, DNK
42.57545, 2080-2099, mri_cgcm3, Jun Average, Denmark, DNK
66.220795, 2080-2099, mri_cgcm3, Jul Average, Denmark, DNK
90.6217, 2080-2099, mri_cgcm3, Aug Average, Denmark, DNK
104.107605, 2080-2099, mri_cgcm3, Sep Average, Denmark, DNK
126.99917, 2080-2099, mri_cgcm3, Oct Average, Denmark, DNK
116.602776, 2080-2099, mri_cgcm3, Nov Average, Denmark, DNK
118.790054, 2080-2099, mri_cgcm3, Dec Average, Denmark, DNK
94.44416, 2080-2099, noresm1_m, Jan Average, Denmark, DNK
82.34664, 2080-2099, noresm1_m, Feb Average, Denmark, DNK
79.7371, 2080-2099, noresm1_m, Mar Average, Denmark, DNK
52.265064, 2080-2099, noresm1_m, Apr Average, Denmark, DNK
49.0014, 2080-2099, noresm1_m, May Average, Denmark, DNK
43.006042, 2080-2099, noresm1_m, Jun Average, Denmark, DNK
52.319523, 2080-2099, noresm1_m, Jul Average, Denmark, DNK
73.63558, 2080-2099, noresm1_m, Aug Average, Denmark, DNK
75.31811, 2080-2099, noresm1_m, Sep Average, Denmark, DNK
119.3175, 2080-2099, noresm1_m, Oct Average, Denmark, DNK
112.402725, 2080-2099, noresm1_m, Nov Average, Denmark, DNK
112.351906, 2080-2099, noresm1_m, Dec Average, Denmark, DNK
9.798859, 2080-2099, bcc_csm1_1, Jan Average, Djibouti, DJI
3.017574, 2080-2099, bcc_csm1_1, Feb Average, Djibouti, DJI
6.612958, 2080-2099, bcc_csm1_1, Mar Average, Djibouti, DJI
28.965916, 2080-2099, bcc_csm1_1, Apr Average, Djibouti, DJI
42.1639, 2080-2099, bcc_csm1_1, May Average, Djibouti, DJI
41.64018, 2080-2099, bcc_csm1_1, Jun Average, Djibouti, DJI
52.21886, 2080-2099, bcc_csm1_1, Jul Average, Djibouti, DJI
79.1323, 2080-2099, bcc_csm1_1, Aug Average, Djibouti, DJI
68.09076, 2080-2099, bcc_csm1_1, Sep Average, Djibouti, DJI
43.67954, 2080-2099, bcc_csm1_1, Oct Average, Djibouti, DJI
27.182943, 2080-2099, bcc_csm1_1, Nov Average, Djibouti, DJI
4.551774, 2080-2099, bcc_csm1_1, Dec Average, Djibouti, DJI
11.19278, 2080-2099, bcc_csm1_1_m, Jan Average, Djibouti, DJI
11.829616, 2080-2099, bcc_csm1_1_m, Feb Average, Djibouti, DJI
23.232962, 2080-2099, bcc_csm1_1_m, Mar Average, Djibouti, DJI
22.288113, 2080-2099, bcc_csm1_1_m, Apr Average, Djibouti, DJI
8.780357, 2080-2099, bcc_csm1_1_m, May Average, Djibouti, DJI
7.57552, 2080-2099, bcc_csm1_1_m, Jun Average, Djibouti, DJI
57.081005, 2080-2099, bcc_csm1_1_m, Jul Average, Djibouti, DJI
61.581562, 2080-2099, bcc_csm1_1_m, Aug Average, Djibouti, DJI
26.41104, 2080-2099, bcc_csm1_1_m, Sep Average, Djibouti, DJI
40.533813, 2080-2099, bcc_csm1_1_m, Oct Average, Djibouti, DJI
35.6247, 2080-2099, bcc_csm1_1_m, Nov Average, Djibouti, DJI
16.028801, 2080-2099, bcc_csm1_1_m, Dec Average, Djibouti, DJI
17.163815, 2080-2099, ccsm4, Jan Average, Djibouti, DJI
18.689487, 2080-2099, ccsm4, Feb Average, Djibouti, DJI
17.589699, 2080-2099, ccsm4, Mar Average, Djibouti, DJI
23.306503, 2080-2099, ccsm4, Apr Average, Djibouti, DJI
20.675413, 2080-2099, ccsm4, May Average, Djibouti, DJI
75.33435, 2080-2099, ccsm4, Jun Average, Djibouti, DJI
147.21844, 2080-2099, ccsm4, Jul Average, Djibouti, DJI
210.2672, 2080-2099, ccsm4, Aug Average, Djibouti, DJI
147.32674, 2080-2099, ccsm4, Sep Average, Djibouti, DJI
54.531384, 2080-2099, ccsm4, Oct Average, Djibouti, DJI
79.730774, 2080-2099, ccsm4, Nov Average, Djibouti, DJI
49.74012, 2080-2099, ccsm4, Dec Average, Djibouti, DJI
3.5226853, 2080-2099, cesm1_cam5, Jan Average, Djibouti, DJI
2.553953, 2080-2099, cesm1_cam5, Feb Average, Djibouti, DJI
12.297851, 2080-2099, cesm1_cam5, Mar Average, Djibouti, DJI
36.876656, 2080-2099, cesm1_cam5, Apr Average, Djibouti, DJI
40.80105, 2080-2099, cesm1_cam5, May Average, Djibouti, DJI
129.30179, 2080-2099, cesm1_cam5, Jun Average, Djibouti, DJI
187.44405, 2080-2099, cesm1_cam5, Jul Average, Djibouti, DJI
222.60515, 2080-2099, cesm1_cam5, Aug Average, Djibouti, DJI
181.75446, 2080-2099, cesm1_cam5, Sep Average, Djibouti, DJI
52.462273, 2080-2099, cesm1_cam5, Oct Average, Djibouti, DJI
42.55593, 2080-2099, cesm1_cam5, Nov Average, Djibouti, DJI
12.7659855, 2080-2099, cesm1_cam5, Dec Average, Djibouti, DJI
2.0907598, 2080-2099, csiro_mk3_6_0, Jan Average, Djibouti, DJI
7.3846226, 2080-2099, csiro_mk3_6_0, Feb Average, Djibouti, DJI
4.588424, 2080-2099, csiro_mk3_6_0, Mar Average, Djibouti, DJI
38.71298, 2080-2099, csiro_mk3_6_0, Apr Average, Djibouti, DJI
55.146812, 2080-2099, csiro_mk3_6_0, May Average, Djibouti, DJI
3.2299476, 2080-2099, csiro_mk3_6_0, Jun Average, Djibouti, DJI
2.4297488, 2080-2099, csiro_mk3_6_0, Jul Average, Djibouti, DJI
2.8381717, 2080-2099, csiro_mk3_6_0, Aug Average, Djibouti, DJI
2.6976883, 2080-2099, csiro_mk3_6_0, Sep Average, Djibouti, DJI
18.095127, 2080-2099, csiro_mk3_6_0, Oct Average, Djibouti, DJI
8.632811, 2080-2099, csiro_mk3_6_0, Nov Average, Djibouti, DJI
4.877672, 2080-2099, csiro_mk3_6_0, Dec Average, Djibouti, DJI
5.679803, 2080-2099, fio_esm, Jan Average, Djibouti, DJI
2.7812798, 2080-2099, fio_esm, Feb Average, Djibouti, DJI
3.5451787, 2080-2099, fio_esm, Mar Average, Djibouti, DJI
8.563634, 2080-2099, fio_esm, Apr Average, Djibouti, DJI
17.23948, 2080-2099, fio_esm, May Average, Djibouti, DJI
33.862206, 2080-2099, fio_esm, Jun Average, Djibouti, DJI
83.936676, 2080-2099, fio_esm, Jul Average, Djibouti, DJI
110.465576, 2080-2099, fio_esm, Aug Average, Djibouti, DJI
90.39573, 2080-2099, fio_esm, Sep Average, Djibouti, DJI
44.10462, 2080-2099, fio_esm, Oct Average, Djibouti, DJI
29.853018, 2080-2099, fio_esm, Nov Average, Djibouti, DJI
12.862205, 2080-2099, fio_esm, Dec Average, Djibouti, DJI
7.282859, 2080-2099, gfdl_cm3, Jan Average, Djibouti, DJI
5.0270886, 2080-2099, gfdl_cm3, Feb Average, Djibouti, DJI
14.975742, 2080-2099, gfdl_cm3, Mar Average, Djibouti, DJI
26.080353, 2080-2099, gfdl_cm3, Apr Average, Djibouti, DJI
21.015821, 2080-2099, gfdl_cm3, May Average, Djibouti, DJI
9.09375, 2080-2099, gfdl_cm3, Jun Average, Djibouti, DJI
67.53606, 2080-2099, gfdl_cm3, Jul Average, Djibouti, DJI
146.09686, 2080-2099, gfdl_cm3, Aug Average, Djibouti, DJI
99.86168, 2080-2099, gfdl_cm3, Sep Average, Djibouti, DJI
129.54007, 2080-2099, gfdl_cm3, Oct Average, Djibouti, DJI
75.296776, 2080-2099, gfdl_cm3, Nov Average, Djibouti, DJI
27.153618, 2080-2099, gfdl_cm3, Dec Average, Djibouti, DJI
4.080965, 2080-2099, gfdl_esm2m, Jan Average, Djibouti, DJI
0.3554453, 2080-2099, gfdl_esm2m, Feb Average, Djibouti, DJI
0.7703172, 2080-2099, gfdl_esm2m, Mar Average, Djibouti, DJI
18.684416, 2080-2099, gfdl_esm2m, Apr Average, Djibouti, DJI
32.159786, 2080-2099, gfdl_esm2m, May Average, Djibouti, DJI
16.43996, 2080-2099, gfdl_esm2m, Jun Average, Djibouti, DJI
24.982996, 2080-2099, gfdl_esm2m, Jul Average, Djibouti, DJI
