Rainfall - (MM), Year, Statistics, Country, ISO3
158.302, 2011, Mar Average, Samoa, WSM
86.9324, 2011, Apr Average, Samoa, WSM
74.9225, 2011, May Average, Samoa, WSM
147.196, 2011, Jun Average, Samoa, WSM
50.3206, 2011, Jul Average, Samoa, WSM
98.7695, 2011, Aug Average, Samoa, WSM
46.0884, 2011, Sep Average, Samoa, WSM
291.045, 2011, Oct Average, Samoa, WSM
390.879, 2011, Nov Average, Samoa, WSM
250.374, 2011, Dec Average, Samoa, WSM
259.17, 2012, Jan Average, Samoa, WSM
296.901, 2012, Feb Average, Samoa, WSM
395.233, 2012, Mar Average, Samoa, WSM
190.382, 2012, Apr Average, Samoa, WSM
241.704, 2012, May Average, Samoa, WSM
130.078, 2012, Jun Average, Samoa, WSM
119.232, 2012, Jul Average, Samoa, WSM
73.0536, 2012, Aug Average, Samoa, WSM
314.817, 2012, Sep Average, Samoa, WSM
126.907, 2012, Oct Average, Samoa, WSM
446.363, 2012, Nov Average, Samoa, WSM
434.283, 2012, Dec Average, Samoa, WSM
564.662, 2013, Jan Average, Samoa, WSM
246.348, 2013, Feb Average, Samoa, WSM
289.1, 2013, Mar Average, Samoa, WSM
288.66, 2013, Apr Average, Samoa, WSM
135.949, 2013, May Average, Samoa, WSM
256.177, 2013, Jun Average, Samoa, WSM
193.364, 2013, Jul Average, Samoa, WSM
394.266, 2013, Aug Average, Samoa, WSM
200.613, 2013, Sep Average, Samoa, WSM
145.496, 2013, Oct Average, Samoa, WSM
146.704, 2013, Nov Average, Samoa, WSM
316.9, 2013, Dec Average, Samoa, WSM
594.762, 2014, Jan Average, Samoa, WSM
297.24, 2014, Feb Average, Samoa, WSM
193.22, 2014, Mar Average, Samoa, WSM
301.67, 2014, Apr Average, Samoa, WSM
166.115, 2014, May Average, Samoa, WSM
187.431, 2014, Jun Average, Samoa, WSM
370.55, 2014, Jul Average, Samoa, WSM
83.4346, 2014, Aug Average, Samoa, WSM
68.8134, 2014, Sep Average, Samoa, WSM
73.4866, 2014, Oct Average, Samoa, WSM
344.588, 2014, Nov Average, Samoa, WSM
431.051, 2014, Dec Average, Samoa, WSM
789.055, 2015, Jan Average, Samoa, WSM
298.76, 2015, Feb Average, Samoa, WSM
193.168, 2015, Mar Average, Samoa, WSM
311.327, 2015, Apr Average, Samoa, WSM
331.809, 2015, May Average, Samoa, WSM
199.073, 2015, Jun Average, Samoa, WSM
82.4878, 2015, Jul Average, Samoa, WSM
157.044, 2015, Aug Average, Samoa, WSM
38.2422, 2015, Sep Average, Samoa, WSM
192.035, 2015, Oct Average, Samoa, WSM
530.463, 2015, Nov Average, Samoa, WSM
564.137, 2015, Dec Average, Samoa, WSM
138.115, 2016, Jan Average, Samoa, WSM
164.919, 2016, Feb Average, Samoa, WSM
293.905, 2016, Mar Average, Samoa, WSM
659.147, 2016, Apr Average, Samoa, WSM
192.576, 2016, May Average, Samoa, WSM
89.2673, 2016, Jun Average, Samoa, WSM
92.7694, 2016, Jul Average, Samoa, WSM
102.189, 2016, Aug Average, Samoa, WSM
141.575, 2016, Sep Average, Samoa, WSM
125.636, 2016, Oct Average, Samoa, WSM
312.286, 2016, Nov Average, Samoa, WSM
358.617, 2016, Dec Average, Samoa, WSM
163.172, 1991, Jan Average, Sao Tome and Principe, STP
139.953, 1991, Feb Average, Sao Tome and Principe, STP
241.611, 1991, Mar Average, Sao Tome and Principe, STP
206.485, 1991, Apr Average, Sao Tome and Principe, STP
346.672, 1991, May Average, Sao Tome and Principe, STP
188.77, 1991, Jun Average, Sao Tome and Principe, STP
187.297, 1991, Jul Average, Sao Tome and Principe, STP
21.9596, 1991, Aug Average, Sao Tome and Principe, STP
