Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
9.631168, 2080-2099, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
15.741435, 2080-2099, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
21.596949, 2080-2099, ipsl_cm5a_mr, May Average, Afghanistan, AFG
25.53836, 2080-2099, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
28.330261, 2080-2099, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
28.438223, 2080-2099, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
23.008068, 2080-2099, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
15.953536, 2080-2099, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
9.55077, 2080-2099, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
3.0582888, 2080-2099, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
5.45761, 2080-2099, miroc_esm, Jan Average, Afghanistan, AFG
8.529341, 2080-2099, miroc_esm, Feb Average, Afghanistan, AFG
13.580233, 2080-2099, miroc_esm, Mar Average, Afghanistan, AFG
18.838322, 2080-2099, miroc_esm, Apr Average, Afghanistan, AFG
24.924427, 2080-2099, miroc_esm, May Average, Afghanistan, AFG
31.287636, 2080-2099, miroc_esm, Jun Average, Afghanistan, AFG
33.959606, 2080-2099, miroc_esm, Jul Average, Afghanistan, AFG
33.178455, 2080-2099, miroc_esm, Aug Average, Afghanistan, AFG
27.757788, 2080-2099, miroc_esm, Sep Average, Afghanistan, AFG
19.295416, 2080-2099, miroc_esm, Oct Average, Afghanistan, AFG
10.95597, 2080-2099, miroc_esm, Nov Average, Afghanistan, AFG
5.881537, 2080-2099, miroc_esm, Dec Average, Afghanistan, AFG
5.629784, 2080-2099, miroc_esm_chem, Jan Average, Afghanistan, AFG
8.26615, 2080-2099, miroc_esm_chem, Feb Average, Afghanistan, AFG
13.191726, 2080-2099, miroc_esm_chem, Mar Average, Afghanistan, AFG
19.529408, 2080-2099, miroc_esm_chem, Apr Average, Afghanistan, AFG
25.261976, 2080-2099, miroc_esm_chem, May Average, Afghanistan, AFG
31.253466, 2080-2099, miroc_esm_chem, Jun Average, Afghanistan, AFG
33.806038, 2080-2099, miroc_esm_chem, Jul Average, Afghanistan, AFG
32.42755, 2080-2099, miroc_esm_chem, Aug Average, Afghanistan, AFG
28.225332, 2080-2099, miroc_esm_chem, Sep Average, Afghanistan, AFG
18.956064, 2080-2099, miroc_esm_chem, Oct Average, Afghanistan, AFG
11.47622, 2080-2099, miroc_esm_chem, Nov Average, Afghanistan, AFG
6.7007003, 2080-2099, miroc_esm_chem, Dec Average, Afghanistan, AFG
4.559171, 2080-2099, miroc5, Jan Average, Afghanistan, AFG
7.4239135, 2080-2099, miroc5, Feb Average, Afghanistan, AFG
12.627631, 2080-2099, miroc5, Mar Average, Afghanistan, AFG
17.946169, 2080-2099, miroc5, Apr Average, Afghanistan, AFG
24.274187, 2080-2099, miroc5, May Average, Afghanistan, AFG
29.800108, 2080-2099, miroc5, Jun Average, Afghanistan, AFG
32.437073, 2080-2099, miroc5, Jul Average, Afghanistan, AFG
31.117977, 2080-2099, miroc5, Aug Average, Afghanistan, AFG
26.326117, 2080-2099, miroc5, Sep Average, Afghanistan, AFG
18.937986, 2080-2099, miroc5, Oct Average, Afghanistan, AFG
12.508455, 2080-2099, miroc5, Nov Average, Afghanistan, AFG
6.5044374, 2080-2099, miroc5, Dec Average, Afghanistan, AFG
-0.4583203, 2080-2099, mri_cgcm3, Jan Average, Afghanistan, AFG
1.8571899, 2080-2099, mri_cgcm3, Feb Average, Afghanistan, AFG
6.90592, 2080-2099, mri_cgcm3, Mar Average, Afghanistan, AFG
12.831588, 2080-2099, mri_cgcm3, Apr Average, Afghanistan, AFG
18.727785, 2080-2099, mri_cgcm3, May Average, Afghanistan, AFG
24.822895, 2080-2099, mri_cgcm3, Jun Average, Afghanistan, AFG
27.350113, 2080-2099, mri_cgcm3, Jul Average, Afghanistan, AFG
25.011398, 2080-2099, mri_cgcm3, Aug Average, Afghanistan, AFG
20.048542, 2080-2099, mri_cgcm3, Sep Average, Afghanistan, AFG
13.634662, 2080-2099, mri_cgcm3, Oct Average, Afghanistan, AFG
6.399228, 2080-2099, mri_cgcm3, Nov Average, Afghanistan, AFG
0.106384486, 2080-2099, mri_cgcm3, Dec Average, Afghanistan, AFG
2.0472963, 2080-2099, noresm1_m, Jan Average, Afghanistan, AFG
4.2390113, 2080-2099, noresm1_m, Feb Average, Afghanistan, AFG
8.777347, 2080-2099, noresm1_m, Mar Average, Afghanistan, AFG
15.690889, 2080-2099, noresm1_m, Apr Average, Afghanistan, AFG
22.149546, 2080-2099, noresm1_m, May Average, Afghanistan, AFG
26.83351, 2080-2099, noresm1_m, Jun Average, Afghanistan, AFG
29.017159, 2080-2099, noresm1_m, Jul Average, Afghanistan, AFG
27.775043, 2080-2099, noresm1_m, Aug Average, Afghanistan, AFG
22.029177, 2080-2099, noresm1_m, Sep Average, Afghanistan, AFG
14.872351, 2080-2099, noresm1_m, Oct Average, Afghanistan, AFG
7.4122715, 2080-2099, noresm1_m, Nov Average, Afghanistan, AFG
3.0550704, 2080-2099, noresm1_m, Dec Average, Afghanistan, AFG
10.00163, 2080-2099, bcc_csm1_1, Jan Average, Albania, ALB
9.661785, 2080-2099, bcc_csm1_1, Feb Average, Albania, ALB
11.435518, 2080-2099, bcc_csm1_1, Mar Average, Albania, ALB
14.110395, 2080-2099, bcc_csm1_1, Apr Average, Albania, ALB
17.353605, 2080-2099, bcc_csm1_1, May Average, Albania, ALB
23.612814, 2080-2099, bcc_csm1_1, Jun Average, Albania, ALB
27.929838, 2080-2099, bcc_csm1_1, Jul Average, Albania, ALB
27.578362, 2080-2099, bcc_csm1_1, Aug Average, Albania, ALB
23.197638, 2080-2099, bcc_csm1_1, Sep Average, Albania, ALB
19.137009, 2080-2099, bcc_csm1_1, Oct Average, Albania, ALB
15.298692, 2080-2099, bcc_csm1_1, Nov Average, Albania, ALB
12.285803, 2080-2099, bcc_csm1_1, Dec Average, Albania, ALB
11.149567, 2080-2099, bcc_csm1_1_m, Jan Average, Albania, ALB
10.234889, 2080-2099, bcc_csm1_1_m, Feb Average, Albania, ALB
11.663776, 2080-2099, bcc_csm1_1_m, Mar Average, Albania, ALB
14.25632, 2080-2099, bcc_csm1_1_m, Apr Average, Albania, ALB
18.10213, 2080-2099, bcc_csm1_1_m, May Average, Albania, ALB
24.132715, 2080-2099, bcc_csm1_1_m, Jun Average, Albania, ALB
27.806795, 2080-2099, bcc_csm1_1_m, Jul Average, Albania, ALB
27.43554, 2080-2099, bcc_csm1_1_m, Aug Average, Albania, ALB
23.609243, 2080-2099, bcc_csm1_1_m, Sep Average, Albania, ALB
18.52156, 2080-2099, bcc_csm1_1_m, Oct Average, Albania, ALB
14.285406, 2080-2099, bcc_csm1_1_m, Nov Average, Albania, ALB
11.710993, 2080-2099, bcc_csm1_1_m, Dec Average, Albania, ALB
10.031522, 2080-2099, ccsm4, Jan Average, Albania, ALB
10.374396, 2080-2099, ccsm4, Feb Average, Albania, ALB
11.662708, 2080-2099, ccsm4, Mar Average, Albania, ALB
14.426744, 2080-2099, ccsm4, Apr Average, Albania, ALB
18.514227, 2080-2099, ccsm4, May Average, Albania, ALB
23.753384, 2080-2099, ccsm4, Jun Average, Albania, ALB
28.047497, 2080-2099, ccsm4, Jul Average, Albania, ALB
28.989546, 2080-2099, ccsm4, Aug Average, Albania, ALB
23.674412, 2080-2099, ccsm4, Sep Average, Albania, ALB
18.205936, 2080-2099, ccsm4, Oct Average, Albania, ALB
14.3494625, 2080-2099, ccsm4, Nov Average, Albania, ALB
11.768846, 2080-2099, ccsm4, Dec Average, Albania, ALB
9.949113, 2080-2099, cesm1_cam5, Jan Average, Albania, ALB
10.179622, 2080-2099, cesm1_cam5, Feb Average, Albania, ALB
11.624421, 2080-2099, cesm1_cam5, Mar Average, Albania, ALB
14.891204, 2080-2099, cesm1_cam5, Apr Average, Albania, ALB
19.18806, 2080-2099, cesm1_cam5, May Average, Albania, ALB
24.180931, 2080-2099, cesm1_cam5, Jun Average, Albania, ALB
27.97908, 2080-2099, cesm1_cam5, Jul Average, Albania, ALB
28.821043, 2080-2099, cesm1_cam5, Aug Average, Albania, ALB
24.547047, 2080-2099, cesm1_cam5, Sep Average, Albania, ALB
18.52309, 2080-2099, cesm1_cam5, Oct Average, Albania, ALB
13.479279, 2080-2099, cesm1_cam5, Nov Average, Albania, ALB
10.771557, 2080-2099, cesm1_cam5, Dec Average, Albania, ALB
11.280999, 2080-2099, csiro_mk3_6_0, Jan Average, Albania, ALB
11.919331, 2080-2099, csiro_mk3_6_0, Feb Average, Albania, ALB
12.49594, 2080-2099, csiro_mk3_6_0, Mar Average, Albania, ALB
15.483925, 2080-2099, csiro_mk3_6_0, Apr Average, Albania, ALB
19.602373, 2080-2099, csiro_mk3_6_0, May Average, Albania, ALB
24.390144, 2080-2099, csiro_mk3_6_0, Jun Average, Albania, ALB
26.9722, 2080-2099, csiro_mk3_6_0, Jul Average, Albania, ALB
26.340622, 2080-2099, csiro_mk3_6_0, Aug Average, Albania, ALB
22.89181, 2080-2099, csiro_mk3_6_0, Sep Average, Albania, ALB
18.431627, 2080-2099, csiro_mk3_6_0, Oct Average, Albania, ALB
14.942663, 2080-2099, csiro_mk3_6_0, Nov Average, Albania, ALB
12.446395, 2080-2099, csiro_mk3_6_0, Dec Average, Albania, ALB
9.318687, 2080-2099, fio_esm, Jan Average, Albania, ALB
9.681851, 2080-2099, fio_esm, Feb Average, Albania, ALB
11.401742, 2080-2099, fio_esm, Mar Average, Albania, ALB
14.634316, 2080-2099, fio_esm, Apr Average, Albania, ALB
18.18819, 2080-2099, fio_esm, May Average, Albania, ALB
22.034927, 2080-2099, fio_esm, Jun Average, Albania, ALB
25.775448, 2080-2099, fio_esm, Jul Average, Albania, ALB
25.485838, 2080-2099, fio_esm, Aug Average, Albania, ALB
21.304703, 2080-2099, fio_esm, Sep Average, Albania, ALB
17.64079, 2080-2099, fio_esm, Oct Average, Albania, ALB
13.502257, 2080-2099, fio_esm, Nov Average, Albania, ALB
11.34622, 2080-2099, fio_esm, Dec Average, Albania, ALB
8.837894, 2080-2099, gfdl_cm3, Jan Average, Albania, ALB
9.499463, 2080-2099, gfdl_cm3, Feb Average, Albania, ALB
10.489176, 2080-2099, gfdl_cm3, Mar Average, Albania, ALB
14.509625, 2080-2099, gfdl_cm3, Apr Average, Albania, ALB
18.42576, 2080-2099, gfdl_cm3, May Average, Albania, ALB
23.43515, 2080-2099, gfdl_cm3, Jun Average, Albania, ALB
28.116892, 2080-2099, gfdl_cm3, Jul Average, Albania, ALB
29.269297, 2080-2099, gfdl_cm3, Aug Average, Albania, ALB
24.605722, 2080-2099, gfdl_cm3, Sep Average, Albania, ALB
18.640373, 2080-2099, gfdl_cm3, Oct Average, Albania, ALB
13.375965, 2080-2099, gfdl_cm3, Nov Average, Albania, ALB
10.900309, 2080-2099, gfdl_cm3, Dec Average, Albania, ALB
8.869245, 2080-2099, gfdl_esm2m, Jan Average, Albania, ALB
8.68048, 2080-2099, gfdl_esm2m, Feb Average, Albania, ALB
10.468665, 2080-2099, gfdl_esm2m, Mar Average, Albania, ALB
13.849963, 2080-2099, gfdl_esm2m, Apr Average, Albania, ALB
17.410723, 2080-2099, gfdl_esm2m, May Average, Albania, ALB
22.496786, 2080-2099, gfdl_esm2m, Jun Average, Albania, ALB
26.018019, 2080-2099, gfdl_esm2m, Jul Average, Albania, ALB
25.795343, 2080-2099, gfdl_esm2m, Aug Average, Albania, ALB
20.844475, 2080-2099, gfdl_esm2m, Sep Average, Albania, ALB
16.188795, 2080-2099, gfdl_esm2m, Oct Average, Albania, ALB
12.666886, 2080-2099, gfdl_esm2m, Nov Average, Albania, ALB
9.115452, 2080-2099, gfdl_esm2m, Dec Average, Albania, ALB
12.191558, 2080-2099, giss_e2_h, Jan Average, Albania, ALB
12.523291, 2080-2099, giss_e2_h, Feb Average, Albania, ALB
13.85421, 2080-2099, giss_e2_h, Mar Average, Albania, ALB
15.896514, 2080-2099, giss_e2_h, Apr Average, Albania, ALB
18.702545, 2080-2099, giss_e2_h, May Average, Albania, ALB
20.636347, 2080-2099, giss_e2_h, Jun Average, Albania, ALB
22.513414, 2080-2099, giss_e2_h, Jul Average, Albania, ALB
22.425499, 2080-2099, giss_e2_h, Aug Average, Albania, ALB
21.1608, 2080-2099, giss_e2_h, Sep Average, Albania, ALB
18.207357, 2080-2099, giss_e2_h, Oct Average, Albania, ALB
15.624084, 2080-2099, giss_e2_h, Nov Average, Albania, ALB
13.671713, 2080-2099, giss_e2_h, Dec Average, Albania, ALB
10.313494, 2080-2099, giss_e2_r, Jan Average, Albania, ALB
10.563778, 2080-2099, giss_e2_r, Feb Average, Albania, ALB
12.34359, 2080-2099, giss_e2_r, Mar Average, Albania, ALB
14.445948, 2080-2099, giss_e2_r, Apr Average, Albania, ALB
18.008314, 2080-2099, giss_e2_r, May Average, Albania, ALB
20.839964, 2080-2099, giss_e2_r, Jun Average, Albania, ALB
23.47092, 2080-2099, giss_e2_r, Jul Average, Albania, ALB
23.565762, 2080-2099, giss_e2_r, Aug Average, Albania, ALB
21.446508, 2080-2099, giss_e2_r, Sep Average, Albania, ALB
17.777586, 2080-2099, giss_e2_r, Oct Average, Albania, ALB
14.245019, 2080-2099, giss_e2_r, Nov Average, Albania, ALB
11.073103, 2080-2099, giss_e2_r, Dec Average, Albania, ALB
8.403657, 2080-2099, ipsl_cm5a_mr, Jan Average, Albania, ALB
8.245963, 2080-2099, ipsl_cm5a_mr, Feb Average, Albania, ALB
10.475166, 2080-2099, ipsl_cm5a_mr, Mar Average, Albania, ALB
13.636658, 2080-2099, ipsl_cm5a_mr, Apr Average, Albania, ALB
17.900513, 2080-2099, ipsl_cm5a_mr, May Average, Albania, ALB
23.851398, 2080-2099, ipsl_cm5a_mr, Jun Average, Albania, ALB
27.032005, 2080-2099, ipsl_cm5a_mr, Jul Average, Albania, ALB
27.342648, 2080-2099, ipsl_cm5a_mr, Aug Average, Albania, ALB
23.427946, 2080-2099, ipsl_cm5a_mr, Sep Average, Albania, ALB
17.008806, 2080-2099, ipsl_cm5a_mr, Oct Average, Albania, ALB
11.784843, 2080-2099, ipsl_cm5a_mr, Nov Average, Albania, ALB
9.033622, 2080-2099, ipsl_cm5a_mr, Dec Average, Albania, ALB
10.444053, 2080-2099, miroc_esm, Jan Average, Albania, ALB
11.25093, 2080-2099, miroc_esm, Feb Average, Albania, ALB
13.281155, 2080-2099, miroc_esm, Mar Average, Albania, ALB
17.089642, 2080-2099, miroc_esm, Apr Average, Albania, ALB
22.202765, 2080-2099, miroc_esm, May Average, Albania, ALB
28.020954, 2080-2099, miroc_esm, Jun Average, Albania, ALB
31.462114, 2080-2099, miroc_esm, Jul Average, Albania, ALB
31.633924, 2080-2099, miroc_esm, Aug Average, Albania, ALB
26.095013, 2080-2099, miroc_esm, Sep Average, Albania, ALB
19.69196, 2080-2099, miroc_esm, Oct Average, Albania, ALB
15.416932, 2080-2099, miroc_esm, Nov Average, Albania, ALB
12.079114, 2080-2099, miroc_esm, Dec Average, Albania, ALB
10.834021, 2080-2099, miroc_esm_chem, Jan Average, Albania, ALB
11.30669, 2080-2099, miroc_esm_chem, Feb Average, Albania, ALB
13.6628895, 2080-2099, miroc_esm_chem, Mar Average, Albania, ALB
17.418741, 2080-2099, miroc_esm_chem, Apr Average, Albania, ALB
21.923903, 2080-2099, miroc_esm_chem, May Average, Albania, ALB
27.920893, 2080-2099, miroc_esm_chem, Jun Average, Albania, ALB
31.111238, 2080-2099, miroc_esm_chem, Jul Average, Albania, ALB
31.099281, 2080-2099, miroc_esm_chem, Aug Average, Albania, ALB
26.089865, 2080-2099, miroc_esm_chem, Sep Average, Albania, ALB
20.010883, 2080-2099, miroc_esm_chem, Oct Average, Albania, ALB
15.741615, 2080-2099, miroc_esm_chem, Nov Average, Albania, ALB
12.731698, 2080-2099, miroc_esm_chem, Dec Average, Albania, ALB
10.804259, 2080-2099, miroc5, Jan Average, Albania, ALB
10.920789, 2080-2099, miroc5, Feb Average, Albania, ALB
12.987234, 2080-2099, miroc5, Mar Average, Albania, ALB
15.981137, 2080-2099, miroc5, Apr Average, Albania, ALB
21.002234, 2080-2099, miroc5, May Average, Albania, ALB
26.04609, 2080-2099, miroc5, Jun Average, Albania, ALB
29.853415, 2080-2099, miroc5, Jul Average, Albania, ALB
29.6259, 2080-2099, miroc5, Aug Average, Albania, ALB
25.116938, 2080-2099, miroc5, Sep Average, Albania, ALB
20.485397, 2080-2099, miroc5, Oct Average, Albania, ALB
16.026201, 2080-2099, miroc5, Nov Average, Albania, ALB
12.48648, 2080-2099, miroc5, Dec Average, Albania, ALB
9.337153, 2080-2099, mri_cgcm3, Jan Average, Albania, ALB
9.747221, 2080-2099, mri_cgcm3, Feb Average, Albania, ALB
11.191517, 2080-2099, mri_cgcm3, Mar Average, Albania, ALB
13.112149, 2080-2099, mri_cgcm3, Apr Average, Albania, ALB
17.574821, 2080-2099, mri_cgcm3, May Average, Albania, ALB
21.040115, 2080-2099, mri_cgcm3, Jun Average, Albania, ALB
24.253439, 2080-2099, mri_cgcm3, Jul Average, Albania, ALB
24.27642, 2080-2099, mri_cgcm3, Aug Average, Albania, ALB
20.223454, 2080-2099, mri_cgcm3, Sep Average, Albania, ALB
17.059742, 2080-2099, mri_cgcm3, Oct Average, Albania, ALB
13.246562, 2080-2099, mri_cgcm3, Nov Average, Albania, ALB
10.390078, 2080-2099, mri_cgcm3, Dec Average, Albania, ALB
11.038199, 2080-2099, noresm1_m, Jan Average, Albania, ALB
11.255703, 2080-2099, noresm1_m, Feb Average, Albania, ALB
12.6115265, 2080-2099, noresm1_m, Mar Average, Albania, ALB
14.839607, 2080-2099, noresm1_m, Apr Average, Albania, ALB
18.305544, 2080-2099, noresm1_m, May Average, Albania, ALB
23.161875, 2080-2099, noresm1_m, Jun Average, Albania, ALB
27.512264, 2080-2099, noresm1_m, Jul Average, Albania, ALB
28.140488, 2080-2099, noresm1_m, Aug Average, Albania, ALB
22.887753, 2080-2099, noresm1_m, Sep Average, Albania, ALB
17.31837, 2080-2099, noresm1_m, Oct Average, Albania, ALB
14.213641, 2080-2099, noresm1_m, Nov Average, Albania, ALB
