Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
29.83598, 2080-2099, miroc_esm_chem, Sep Average, Afghanistan, AFG
23.227318, 2080-2099, miroc_esm_chem, Oct Average, Afghanistan, AFG
17.534338, 2080-2099, miroc_esm_chem, Nov Average, Afghanistan, AFG
25.880527, 2080-2099, miroc_esm_chem, Dec Average, Afghanistan, AFG
69.07042, 2080-2099, miroc5, Jan Average, Afghanistan, AFG
88.46448, 2080-2099, miroc5, Feb Average, Afghanistan, AFG
107.62835, 2080-2099, miroc5, Mar Average, Afghanistan, AFG
87.808945, 2080-2099, miroc5, Apr Average, Afghanistan, AFG
35.10312, 2080-2099, miroc5, May Average, Afghanistan, AFG
9.099285, 2080-2099, miroc5, Jun Average, Afghanistan, AFG
4.5133414, 2080-2099, miroc5, Jul Average, Afghanistan, AFG
4.8534226, 2080-2099, miroc5, Aug Average, Afghanistan, AFG
8.172383, 2080-2099, miroc5, Sep Average, Afghanistan, AFG
16.688587, 2080-2099, miroc5, Oct Average, Afghanistan, AFG
31.061451, 2080-2099, miroc5, Nov Average, Afghanistan, AFG
32.381264, 2080-2099, miroc5, Dec Average, Afghanistan, AFG
42.046543, 2080-2099, mri_cgcm3, Jan Average, Afghanistan, AFG
28.748861, 2080-2099, mri_cgcm3, Feb Average, Afghanistan, AFG
42.023796, 2080-2099, mri_cgcm3, Mar Average, Afghanistan, AFG
67.2688, 2080-2099, mri_cgcm3, Apr Average, Afghanistan, AFG
50.665325, 2080-2099, mri_cgcm3, May Average, Afghanistan, AFG
30.358288, 2080-2099, mri_cgcm3, Jun Average, Afghanistan, AFG
9.532533, 2080-2099, mri_cgcm3, Jul Average, Afghanistan, AFG
11.000416, 2080-2099, mri_cgcm3, Aug Average, Afghanistan, AFG
11.070367, 2080-2099, mri_cgcm3, Sep Average, Afghanistan, AFG
27.211529, 2080-2099, mri_cgcm3, Oct Average, Afghanistan, AFG
44.3902, 2080-2099, mri_cgcm3, Nov Average, Afghanistan, AFG
38.04912, 2080-2099, mri_cgcm3, Dec Average, Afghanistan, AFG
14.630531, 2080-2099, noresm1_m, Jan Average, Afghanistan, AFG
23.557903, 2080-2099, noresm1_m, Feb Average, Afghanistan, AFG
33.657444, 2080-2099, noresm1_m, Mar Average, Afghanistan, AFG
28.685444, 2080-2099, noresm1_m, Apr Average, Afghanistan, AFG
13.750758, 2080-2099, noresm1_m, May Average, Afghanistan, AFG
6.283242, 2080-2099, noresm1_m, Jun Average, Afghanistan, AFG
8.662322, 2080-2099, noresm1_m, Jul Average, Afghanistan, AFG
13.7349415, 2080-2099, noresm1_m, Aug Average, Afghanistan, AFG
11.735225, 2080-2099, noresm1_m, Sep Average, Afghanistan, AFG
9.202425, 2080-2099, noresm1_m, Oct Average, Afghanistan, AFG
10.559819, 2080-2099, noresm1_m, Nov Average, Afghanistan, AFG
13.996358, 2080-2099, noresm1_m, Dec Average, Afghanistan, AFG
64.49724, 2080-2099, bcc_csm1_1, Jan Average, Albania, ALB
62.345467, 2080-2099, bcc_csm1_1, Feb Average, Albania, ALB
38.01297, 2080-2099, bcc_csm1_1, Mar Average, Albania, ALB
34.252426, 2080-2099, bcc_csm1_1, Apr Average, Albania, ALB
17.32614, 2080-2099, bcc_csm1_1, May Average, Albania, ALB
12.956943, 2080-2099, bcc_csm1_1, Jun Average, Albania, ALB
1.9657354, 2080-2099, bcc_csm1_1, Jul Average, Albania, ALB
6.7216744, 2080-2099, bcc_csm1_1, Aug Average, Albania, ALB
23.641792, 2080-2099, bcc_csm1_1, Sep Average, Albania, ALB
62.981644, 2080-2099, bcc_csm1_1, Oct Average, Albania, ALB
89.65561, 2080-2099, bcc_csm1_1, Nov Average, Albania, ALB
101.17474, 2080-2099, bcc_csm1_1, Dec Average, Albania, ALB
93.12556, 2080-2099, bcc_csm1_1_m, Jan Average, Albania, ALB
72.263176, 2080-2099, bcc_csm1_1_m, Feb Average, Albania, ALB
47.44927, 2080-2099, bcc_csm1_1_m, Mar Average, Albania, ALB
32.487217, 2080-2099, bcc_csm1_1_m, Apr Average, Albania, ALB
12.173725, 2080-2099, bcc_csm1_1_m, May Average, Albania, ALB
4.470031, 2080-2099, bcc_csm1_1_m, Jun Average, Albania, ALB
2.7404351, 2080-2099, bcc_csm1_1_m, Jul Average, Albania, ALB
5.6489635, 2080-2099, bcc_csm1_1_m, Aug Average, Albania, ALB
19.797377, 2080-2099, bcc_csm1_1_m, Sep Average, Albania, ALB
57.63389, 2080-2099, bcc_csm1_1_m, Oct Average, Albania, ALB
81.98866, 2080-2099, bcc_csm1_1_m, Nov Average, Albania, ALB
98.29585, 2080-2099, bcc_csm1_1_m, Dec Average, Albania, ALB
93.96605, 2080-2099, ccsm4, Jan Average, Albania, ALB
64.56718, 2080-2099, ccsm4, Feb Average, Albania, ALB
62.31784, 2080-2099, ccsm4, Mar Average, Albania, ALB
38.37974, 2080-2099, ccsm4, Apr Average, Albania, ALB
30.306255, 2080-2099, ccsm4, May Average, Albania, ALB
25.323212, 2080-2099, ccsm4, Jun Average, Albania, ALB
10.480919, 2080-2099, ccsm4, Jul Average, Albania, ALB
7.234498, 2080-2099, ccsm4, Aug Average, Albania, ALB
