country,initial_gdp,only_ssp3_impact_gdp,only_ssp5_impact_gdp,only_ssp1_impact_gdp,only_ssp2_impact_gdp,avg_agri_emp
DE,35542.15088,0.7696555658587706,1.8019312676905972,1.062074698157837,0.8919536523537136,2.6141499936580663
DJ,2332.65977165,0.1095211320015098,10.268432322781674,5.95660215572196,2.6170744249721865,55.62930030822754
DK,39357.7085655,0.7817472953394101,1.780485877839756,1.0211576349818083,0.8560035336932301,3.6713500380516058
DZ,10607.19578025,1.128385881764738,6.415183450194535,4.055474021443772,3.2525011673181052,20.15175018310547
EE,16448.262380666667,1.3327562957020151,3.4391407563590235,2.0621595996628055,1.6935820622183564,8.637950015068057
EG,7897.86448625,1.4746908277182638,7.759200909124861,4.936716031643095,3.916139181351831,31.769799804687498
ER,1369.4837481666666,3.304722410816277,33.29894683608241,21.127668177822216,11.497516760981272,64.13933351304796
ES,29187.4910385,0.9494760592482736,3.323916943160268,2.4582145090134935,2.2425665947092215,6.833449959754944
ET,681.00829271,0.5648862844092976,24.540856699828066,13.890758353135768,5.841048575983903,77.07929992675783
FI,32362.8007945,0.9086047108155156,2.442658893861652,1.6138448437499848,1.4435490767357888,6.397799944877626
FR,33314.3000925,0.7480223979769994,3.02174702908445,2.47630124846381,2.236591356225378,4.212099981307984
GA,18033.673579,0.16570145224559493,4.145692517745178,2.6128276476663244,1.794823437755241,42.241150093078616
GB,30915.550723,1.186249833373727,3.2486937166403154,2.7810573666940925,2.4955687680286633,1.5872999787330615
GH,2341.60720675,0.9137497466665976,19.924803934953975,11.982839156085024,6.100468201571546,54.92609996795655
GN,1141.68754495,0.19717791940232984,24.40186261971915,14.654944494828548,6.324774988084604,70.02735023498536
GQ,17917.0838854,0.7669439770073125,3.236454089849433,2.0646553298236063,1.6913945552012517,48.48860015869141
GR,25359.7121655,1.0445752856589026,3.780824478620604,3.043407845606379,2.826643066372462,16.358100032806405
GW,1357.3942517,0.7824922360716802,26.47880956426006,15.76404751986235,7.1624035208769286,69.36574974060059
HR,17154.73746625,1.514988440415488,3.54998419643814,2.1841238856570513,1.933349709594432,17.010700130462645
HU,18498.444431,1.6946662783141675,3.805455490491419,2.393863920910551,2.106422938983938,6.797850012779236
IE,36336.3898675,0.6906939068477163,2.3514370937048668,1.5697427233413377,1.3658602346620596,8.64465005397797
IN,2839.76626845,3.763448908052752,16.865382726908344,10.901811800981772,8.727087783845477,58.3832998275757
IQ,11158.539182545455,3.1046770386756295,12.95781666329389,8.877980890861382,7.45233664281861,24.021399879455565
IR,11714.10219525,0.7991546398907325,4.258475353026872,2.5377226581204693,2.0352565319348286,23.44485006332398
IS,34134.4759185,1.413001474467081,2.787601357710552,2.3629874307713523,2.000141649171735,7.798400020599369
IT,33687.77137,1.2082374315369553,3.573515899972452,2.9051219156579933,2.7857659022174657,5.383149981498717
JO,8468.86466815,2.082591453535002,7.888984945395915,5.16807750531839,4.296421240168536,4.127699983119964
KE,1895.35890385,2.02010976627148,24.04006982389008,15.17390455809788,9.836698268895256,52.509599494934086
KM,1602.58492785,0.2923085761738115,21.814304453319053,13.578598976755403,6.528588538182287,55.53820056915283
KW,89075.288860625,0.25434279884247457,1.0757969515059411,0.5490943049001678,0.4330261169946188,2.373100006580353
LB,12558.425693,1.3926166580804786,4.257027366788026,2.699939751007757,2.211357079300307,14.854750013351435
LR,425.504395445,3.739294249023237,59.98555509592921,37.5753083865378,19.119593109227207,49.644949913024895
LS,1696.78057215,0.7598605381791732,19.749373788188464,12.333092254598558,6.07523382685688,72.05735054016114
LT,14646.90397385,1.3703236452723695,3.283912094107654,2.020968886237352,1.669933993061695,17.145149946212776
LU,77773.868386,1.6094413602529294,2.799242385006633,2.3740880546896657,2.168490747129447,2.335499972105026
LV,13625.24680015,1.915085885939084,4.270104448371253,2.694649424110577,2.3094915335956214,14.848800039291387
LY,25813.00261090909,0.1212025030115574,2.1961288403892723,1.2707100896497785,0.912425200871366,8.966818115927955
MA,4897.55187675,0.6140858283635412,9.972248139323458,6.66473986983473,4.593730327338009,44.75140018463135
MD,3144.98842715,10.32946056947056,19.485335046846423,13.736780177439044,12.537528326774964,41.3981001853943
ME,11288.955829857145,NA,NA,NA,NA,9.181150007247924
MG,1430.3811477,0.9422681592146664,21.82926757488475,12.473828403057066,4.816671658704099,77.95325088500977
