country,initial_b50,initial_gdp,all_impact_prec_b50,all_impact_prec_gdp,all_impact_prec_and_temp_gdp,all_mean_impact_b50,all_mean_impact_prec_gdp,all_mean_impact_prec_and_temp_gdp,gdp_rate,b50_diff,agri_top20,trend_impact_gdp,trend_impact_b50
AL.6,0.20168666666666665,6632.126394,0.05398130086166627,9.351107438130011,-0.3959364474609207,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.7,0.20168666666666665,6632.126394,0.05002790385416298,13.42462126103995,1.6161094857474476,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.8,0.20168666666666665,6632.126394,0.04758009081158775,16.229395067794265,1.3129927477686891,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.9,0.20168666666666665,6632.126394,0.04955275014480363,13.927151066972844,1.197054936368363,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.10,0.20168666666666665,6632.126394,0.05463842833289307,8.670816475310803,-0.18887821383175357,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.11,0.20168666666666665,6632.126394,0.05331228975366728,10.038363623180372,-0.8707743042511492,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.12,0.20168666666666665,6632.126394,0.05420051922630616,9.124920786650849,-0.9057800678775983,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.13,0.20168666666666665,6632.126394,0.04759632007548291,16.54770955323473,-0.447628877864325,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.14,0.20168666666666665,6632.126394,0.04836662832657269,15.226117492769337,2.114646837817073,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.15,0.20168666666666665,6632.126394,0.05025560871162478,13.185811764429252,0.21637273667511409,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AO,0.121610406555,4261.35951385,-0.230668977243618,7.263286741395715,-0.8158367117536,-0.23699138298957845,6.660991580647152,-0.6837974970966229,0.02907815502907315,-4.026381210526318e-4,0,6.436783621107732,-0.2317619788643443
AO.1,0.121610406555,4261.35951385,-0.23704060014748513,4.597741711324347,-0.9556138075402576,-0.23699138298957845,6.660991580647152,-0.6837974970966229,NA,NA,NA,NA,NA
AO.2,0.121610406555,4261.35951385,-0.23273599412169593,7.789397507576812,-0.34670434251278215,-0.23699138298957845,6.660991580647152,-0.6837974970966229,NA,NA,NA,NA,NA
AO.3,0.121610406555,4261.35951385,-0.2306840462548753,7.403394516139522,-0.29724756621315357,-0.23699138298957845,6.660991580647152,-0.6837974970966229,NA,NA,NA,NA,NA
