country,impact_prec_b50,impact_prec_gdp,impact_temp_gdp,impact_prec_and_temp_gdp,mean_impact_b50,mean_impact_prec_gdp,mean_impact_temp_gdp,mean_impact_prec_and_temp_gdp
EE.7,-0.015648366874443178,1.429046000358532,2.765847277737855,2.765847277737855,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.8,-0.014577454418508978,1.421744686489864,3.143308515570991,3.143308515570991,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.9,-0.01614383765520448,1.4324936460419078,2.802351719592887,2.802351719592887,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.10,-0.018874231877200755,1.452550843991039,3.8445032727806536,3.8445032727806536,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.11,-0.021679814090070876,1.4763709391102227,4.4830108351644284,4.4830108351644284,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.12,-0.02053373638297245,1.4660486675790994,4.433302578427059,4.433302578427059,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.13,0.003752294001881913,1.3112973409419595,4.027543032865124,4.027543032865124,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.14,-0.01999783022033686,1.4615388012309993,2.9831384169943402,2.9831384169943402,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EE.15,-0.009680794383306716,1.3902424379268394,3.8429860931284487,3.8429860931284487,-0.014621819680573333,1.4243899923886252,3.430929169495321,3.430929169495321
EG,-7.584565412004912e-4,1.5205541107969536,-0.8572513359385826,-0.8572513359385826,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.1,9.133717871174928e-4,1.412565127771432,-0.8667695536443143,-0.8667695536443143,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.2,-0.0016598855073079388,1.5710959412002827,-0.711030704252826,-0.711030704252826,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.3,-0.00135360567084151,1.554303549285798,-0.8972674422224408,-0.8972674422224408,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.4,0.0015812707477878421,1.3576331457328443,-0.9506541795823557,-0.9506541795823557,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.5,0.0013384502764802286,1.379083567843299,-0.6760121714054566,-0.6760121714054566,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.6,0.0014017847671563464,1.3736920064744533,-0.9165379237307782,-0.9165379237307782,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.7,0.0016214669688192677,1.3538510153762373,-0.7711003690986767,-0.7711003690986767,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.8,-0.0023457436290449623,1.6075747472891968,-0.958092452455561,-0.958092452455561,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.9,-0.0014632481635866073,1.5603551450287747,-0.9531578813672453,-0.9531578813672453,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.10,0.0023827706987089017,1.2310601247476427,-0.7231130312638167,-0.7231130312638167,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
EG.11,-0.006205121701277095,1.7958372670775633,-0.9581438798418888,-0.9581438798418888,-7.096801144226592e-4,1.4988684371154595,-0.8249237460298863,-0.8249237460298863
