country,initial_b50,initial_gdp,all_impact_prec_b50,all_impact_prec_gdp,all_impact_prec_and_temp_gdp,all_mean_impact_b50,all_mean_impact_prec_gdp,all_mean_impact_prec_and_temp_gdp,clim_impact_prec_b50,clim_impact_prec_gdp,clim_impact_temp_gdp,clim_impact_prec_and_temp_gdp,clim_mean_impact_b50,clim_mean_impact_prec_gdp,clim_mean_impact_temp_gdp,clim_mean_impact_prec_and_temp_gdp,gdp_rate,b50_diff,agri_top20,trend_impact_gdp,trend_impact_b50,only_ssp3_impact_gdp,only_ssp5_impact_gdp
FI.9,0.248085,32362.8007945,-0.01574723803380065,2.909238447007344,6.408804719113258,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.0147693876649011,0.05103790364009192,0.9190724738733472,0.9701103775134392,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.10,0.248085,32362.8007945,-0.01644019704965851,2.911902358864626,14.083282366818692,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.01542254589319061,0.05372384585651114,2.958359022680941,3.012082868537452,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.11,0.248085,32362.8007945,-0.01908654740529116,2.923396080089577,12.316575279996153,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.0179276660769579,0.06528556588911089,2.475896844533392,2.541182410422503,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.12,0.248085,32362.8007945,-0.01890579501219883,2.9225043853465067,11.689687027987404,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.01775568656804975,0.06439137294793885,2.309853462232513,2.374244835180452,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.13,0.248085,32362.8007945,-0.0062989821560692,2.877586781298727,14.571650960817909,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.00590069546831248,0.01923146456061681,3.1251283095678697,3.1443597741284863,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.14,0.248085,32362.8007945,-0.01625102435811575,2.911165679507964,7.692416320765655,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.01524416197238512,0.05298116835192559,1.2574408532647547,1.3104220216166804,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FI.15,0.248085,32362.8007945,-0.01134734304789992,2.8937898144287537,13.67536993600622,-0.01503815235668035,2.9074365453091957,10.335942207471136,-0.01063394158841658,0.03547054624002735,2.8671438178462223,2.90261436408625,-0.01410844458939158,0.04922301730404455,1.966374995277507,2.0155980125815516,NA,NA,NA,NA,NA,NA,NA
FR,0.21687,33314.3000925,0.00497314598310648,1.004534227215392,0.18238728648215963,-0.00425336766693195,1.0174630406538778,0.1983619467691166,0.00480888755230474,-0.00852909527983192,-0.41325917007704666,-0.4217882653568786,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,0.01003174076453608,3.0000000000000057e-4,0,1.011182746531465,0,0.7480223979769994,3.02174702908445
FR.1,0.21687,33314.3000925,-0.00423137935439297,1.017042472942921,0.2513515530565303,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00409394134623967,0.0075350625370902,-0.3826074753378893,-0.37507241280079906,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.2,0.21687,33314.3000925,-0.00287854737704306,1.0151372392200615,0.1567058123755634,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00278465720820557,0.00508431428271928,-0.4292119667495736,-0.4241276524668543,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.3,0.21687,33314.3000925,0.0030495417691897,1.0070878188220005,0.1944081660082032,-0.00425336766693195,1.0174630406538778,0.1983619467691166,0.00294899083093394,-0.00525692678828665,-0.4080026166653595,-0.4132595434536462,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.4,0.21687,33314.3000925,-0.00714870755314012,1.0213146035922698,0.1377173410261469,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00691946910927168,0.01302827934062667,-0.4404281495691938,-0.4273998702285671,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.5,0.21687,33314.3000925,-1.3144992316706702e-4,1.0113610630117789,0.47592226592652814,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-1.2713541540548842e-4,2.2913520270009477e-4,-0.2684905618238865,-0.2682614266211864,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.6,0.21687,33314.3000925,0.00437583086016006,1.0053254495865438,-0.08197610821653346,-0.00425336766693195,1.0174630406538778,0.1983619467691166,0.00423136769081385,-0.00751579551803084,-0.5457958379816826,-0.5533116334997135,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.7,0.21687,33314.3000925,-0.00770545613754605,1.022165924836089,0.6679894253517373,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00745917099071824,0.01412184803192329,-0.17675787564977566,-0.16263602761785237,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.8,0.21687,33314.3000925,-0.01024610179999332,1.0263000372355178,0.23737600911475532,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00992534704326345,0.01942100358176295,-0.3924150096159783,-0.37299400603421534,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.9,0.21687,33314.3000925,-0.0096670312448572,1.0253113653824617,0.4679333304086409,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00936262865170864,0.01815594066603702,-0.27758089173284234,-0.2594249510668053,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.10,0.21687,33314.3000925,0.00303141586203111,1.0071119661266434,0.14085804812157934,-0.00425336766693195,1.0174630406538778,0.1983619467691166,0.00293146453021626,-0.00522595991784193,-0.4348138044731571,-0.44003976439099907,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.11,0.21687,33314.3000925,-0.01084161730261829,1.027358229016088,-0.19039773052287157,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.01050460301940114,0.0207728928033079,-0.6044182859842687,-0.5836453931809609,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.12,0.21687,33314.3000925,-0.01002876627691536,1.0259248191424155,-0.23367446127044403,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00971409303715348,0.01894109724550281,-0.6255062834656671,-0.6065651862201642,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.13,0.21687,33314.3000925,-0.00946339313200279,1.0249715289599532,-0.12267605454925393,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00916484622637014,0.01772071730036446,-0.5704512050703694,-0.5527304877700049,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.14,0.21687,33314.3000925,-0.00952051669063851,1.0250664822593802,0.6808501870563678,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00922032213866058,0.01784234079669416,-0.17154989206895674,-0.15370755127226257,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
FR.15,0.21687,33314.3000925,-0.00162085035308382,1.0133954231125293,0.20901607793675675,-0.00425336766693195,1.0174630406538778,0.1983619467691166,-0.00156781343720053,0.00284422921930504,-0.4026030962335239,-0.39975886701421887,-0.00412020731370811,0.00807306771900266,-0.4089932576561982,-0.4009201899371955,NA,NA,NA,NA,NA,NA,NA
GA,0.135224303415,18033.673579,0.00370241157463079,-0.5518952195431713,-0.9795392190815596,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.00121758151306953,-0.20124570428814972,-0.9525299981742268,-1.1537757024623765,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,-0.00882167554647999,4.2997896315789455e-4,0,-0.4621938944438524,0,0.16570145224559493,4.145692517745178
GA.1,0.135224303415,18033.673579,-9.841915182316145e-4,-0.4320475913435154,-0.982090438776662,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,-3.4260980367794e-4,0.06904986538776053,-0.9675714955856852,-0.8985216301979246,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.2,0.135224303415,18033.673579,0.03135611617590065,-0.8386871851136312,-0.9772069809849208,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.00922699066218947,-0.778380000496449,-0.8494115787465819,-1.6277915792430309,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.3,0.135224303415,18033.673579,0.01509551878077198,-0.717851301738875,-0.9416829165790034,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.00465159935158652,-0.5511327029439461,-0.7862543318659353,-1.3373870348098813,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.4,0.135224303415,18033.673579,-0.00415915157168823,-0.08614711818029407,-0.987293050490534,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,-0.00238451288886425,0.8803397700271142,-0.9860873570894324,-0.10574758706231813,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.5,0.135224303415,18033.673579,0.02651611192034995,-0.8108692820729382,-0.984767594511561,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.00788917471852126,-0.7288507566344402,-0.9132263993173072,-1.6420771559517473,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.6,0.135224303415,18033.673579,0.00119341226518434,-0.4945531818075159,-0.9726198559391344,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,4.026486184324345e-4,-0.07337471043458617,-0.9441859859045652,-1.0175606963391517,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.7,0.135224303415,18033.673579,0.02217685946661208,-0.7808604798413289,-0.9601504658763632,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.00667443120745716,-0.6733837305193212,-0.8098112044435118,-1.483194934962833,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.8,0.135224303415,18033.673579,0.10151868312982083,-0.9784800658106322,-0.9984207171395968,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.02759932376240468,-0.9836085090437288,-0.9108650484974934,-1.8944735575412224,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.9,0.135224303415,18033.673579,0.09589464499987066,-0.974994190434886,-0.9986523446351868,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.02616948462669284,-0.9800369955590718,-0.933555423818916,-1.913592419377988,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
GA.10,0.135224303415,18033.673579,0.04772188963171889,-0.9030143731400038,-0.9995546204562302,0.02793050277555108,-0.7081224981387887,-0.9789542702796048,0.01365217137132722,-0.8842159960345649,-0.994141934872937,-1.878357930907502,0.00791618946389844,-0.4975556878960789,-0.9057066414574744,-1.403262329353553,NA,NA,NA,NA,NA,NA,NA
