country,min_year,level_last_b50,mean_level_last_b50,trend_last_b50,ratio
MK.13,2071,0.00286316525069576,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.14,2071,0.0039353150947905,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.15,2071,0.00557491307855213,0.005770366146488797,0.005271052631579176,1.094727476617897
PL,2079,0.00323665286217186,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.1,2079,0.00194852597274862,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.2,2079,0.00267612854907128,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.3,2079,0.00395590271067076,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.4,2079,0.00257226352366281,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.5,2079,0.00222704753966192,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.6,2079,0.00326843790299025,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.7,2079,0.00209929089014914,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.8,2079,0.00190377072781016,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.9,2079,0.00205076724172619,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.10,2079,0.00277654888505564,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.11,2079,8.968626158425931e-4,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.12,2079,0.001021454964706,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.13,2079,0.0032218318957636,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.14,2079,0.00183776347184348,0.0024303971968105626,0.004947631578948147,0.4912243682718304
PL.15,2079,0.0031931053950947,0.0024303971968105626,0.004947631578948147,0.4912243682718304
RS,2073,0.00408591879083587,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.1,2073,0.0041596930851181,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.2,2073,0.00349534789349338,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.3,2073,0.0039370346222584,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.4,2073,0.00223950694573422,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.5,2073,0.00342341656700697,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.6,2073,0.00446677382022803,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.7,2073,0.00281555563800519,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.8,2073,0.00105103969710559,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.9,2073,0.00179078644010886,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.10,2073,0.00455294141926282,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.11,2073,0.00302973647249497,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.12,2073,0.00310668084535344,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.13,2073,0.0022543503885467,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.14,2073,0.002376993963446,0.0031110936243794107,0.003252105263157945,0.956639890972777
RS.15,2073,0.00299172140107203,0.0031110936243794107,0.003252105263157945,0.956639890972777
RU,2032,0.00632255292566669,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.1,2032,0.00609476588134114,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.2,2032,0.00617710989453239,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.3,2032,0.00652592600277775,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.4,2032,0.00624165412420563,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.5,2032,0.00573693614464314,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.6,2032,0.00576125569503953,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.7,2032,0.00623789264089909,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.8,2032,0.00623666452004411,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.9,2032,0.00633506914004644,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.10,2032,0.00605290789776211,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.11,2032,0.00569503390707446,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.12,2032,0.00573620360661628,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.13,2032,0.00629448304149374,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.14,2032,0.00609883094077099,0.006118928257781938,0.007198432655263182,0.8500361885455778
RU.15,2032,0.00635556576159752,0.006118928257781938,0.007198432655263182,0.8500361885455778
RW,2053,0.01524635837805959,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.1,2053,0.01634766406185744,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.2,2053,0.0159599241431344,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.3,2053,0.01712095089964261,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.4,2053,0.01770469179665558,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.5,2053,0.01512829753984417,0.015306678169778222,0.01764116168289498,0.8676683794933815
RW.6,2053,0.01754337032627917,0.015306678169778222,0.01764116168289498,0.8676683794933815
