country,country_iso3,UDel_precip_popweight,UDel_precip_popweight_2,UDel_temp_popweight,temp_sq,comp_growth_prec,comp_growth_temp,agri_top20,agri_b80,bottom50,mean_prec,mean_temp,mean_diff,mean_b50,mean_growth,mean_gdp,agri_emp,Model,b50_diff,gdp_rate,agri_diff,top20_string
DJ,DJI,0.23796,0.0566249616,28.43,808.2649,-0.006046000021052378,7.440592904641719e-4,0,1,0.1277891262,0.232568,28.257,-5.0622673667711646e-5,0.14030431646,-0.006735634733922787,2332.65977165,55.62930030822754,mri_cgcm3,-8.499280473684218e-4,-0.0028049552895704592,-0.17336835359272093,Bottom 80%
DJ,DJI,0.23796,0.0566249616,28.43,808.2649,0.01595676732151663,-0.002217997158789564,0,1,0.1277891262,0.232568,28.257,-5.0622673667711646e-5,0.14030431646,-0.006735634733922787,2332.65977165,55.62930030822754,noresm1_m,-8.499280473684218e-4,-0.0028049552895704592,-0.17336835359272093,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.004489660840468757,0.0036519763746816203,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,bcc_csm1_1,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.006321840745341145,0.0030016484857016135,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,bcc_csm1_1_m,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.004857328072998213,0.006261440701528231,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,ccsm4,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.005501749868407346,0.006355823309827535,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,cesm1_cam5,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.0022350864664284487,0.0031733195985890195,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,csiro_mk3_6_0,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.005461508524193137,0.002029497222645782,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,fio_esm,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.003561636966470161,0.007130894269739008,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,gfdl_cm3,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.004819031893192216,0.002713664484351286,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,gfdl_esm2m,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.006955176339677349,0.004796093362914311,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,giss_e2_h,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.005739033390545378,0.003762618919917804,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,giss_e2_r,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.004539234799561642,0.0042948631250872005,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,ipsl_cm5a_mr,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.008770602150891316,0.008315890559086103,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,miroc_esm,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.008365510733021386,0.00859178249351289,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,miroc_esm_chem,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.0017808051741867725,0.007563505952849159,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,miroc5,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.006321255937719483,0.003724358442901421,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,mri_cgcm3,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DK,DNK,0.67092,0.4501336464,6.64,44.0896,0.004023353506275695,0.006109796237947274,0,1,0.2471,0.529814,8.1655,-5.956112852664582e-5,0.26114,0.011960649973480031,39357.7085655,3.6713500380516058,noresm1_m,-0.0010000000000000009,0.012046723259544012,-0.1480526422199447,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.0020108132610009433,0.0020099073420543068,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,bcc_csm1_1,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.013041331882076013,0.002689928689217913,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,bcc_csm1_1_m,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-4.8459505257869573e-4,0.001951695866365677,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,ccsm4,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.0026536057939259283,0.0026022466390764887,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,cesm1_cam5,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.0014054433015020518,0.0031606786731155356,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,csiro_mk3_6_0,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.015578930494899224,0.0015813445287953254,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,fio_esm,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.002679947340151978,0.0028820093780259626,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,gfdl_cm3,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.010690282349666846,0.0014927723522966119,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,gfdl_esm2m,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.005949469372140692,0.0035768640044939737,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,giss_e2_h,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.0030860968108790132,0.0033102034715959405,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,giss_e2_r,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.03684751188807267,0.0019148032533922166,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,ipsl_cm5a_mr,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.004270021168440552,0.0025463876205469305,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,miroc_esm,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.004076410314166168,0.0026589053354271197,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,miroc_esm_chem,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,0.010093658726715304,0.002970503163123306,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,miroc5,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.0029923857040041746,0.0011651020762881714,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,mri_cgcm3,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
DZ,DZA,0.50663,0.2566739569,17.78,316.1284,-0.006324413250634597,0.0010813371090394597,0,1,0.2045066139,0.4651405,17.3155,1.598096595611285e-4,0.179896937965,0.010572615056298673,10607.19578025,20.15175018310547,noresm1_m,0.00268312007368421,0.013060091514618446,-0.6192631972463475,Bottom 80%
